ace As
ache Ak
act @kt
add @d
ade Ad
aft @ft
age Aj
aid Ad
aide Ad
ail Al
aim Am
air Ar
aisle Il
ale Al
all ol
alps @lps
and @nd
angst @Nst
ant @nt
ape Ap
apt @pt
arc ark
arch arC
are ar
arm arm
art art
ash @S
ask @sk
ass @s
ate At
aunt @nt
awn on
axe @ks
babe bAb
back b@k
bad b@d
bade bAd
badge b@j
bag b@g
bail bAl
bait bAt
bake bAk
bakes bAks
bald bold
bale bAl
balk bok
ball bol
ban b@n
band b@nd
bane bAn
bang b@N
bank b@Nk
bar bar
bard bard
bare bAr
barge barj
bark bark
barn barn
barre bar
bas ba
base bAs
bash b@S
bask b@sk
bass bAs
bass b@s
baste bAst
bat b@t
batch b@C
bate bAt
bath b@T
bathe bAD
bay bA
beach bEC
bead bEd
beak bEk
beam bEm
bean bEn
bear bAr
beard bErd
beast bEst
beat bEt
beau bO
beck bek
bed bed
bee bE
beech bEC
beef bEf
beek bEk
been bin
beep bEp
beer bEr
beet bEt
beg beg
beige bAZ
belch belC
bell bel
belle bel
belt belt
bench benC
bend bend
bent bent
berth burT
best best
bet bet
bib bib
bid bid
bide bId
big big
bike bIk
bile bIl
bilge bilj
bill bil
bin bin
bind bInd
bing biN
binge binj
birch burC
bird burd
birth burT
bit bit
bitch biC
bite bIt
black bl@k
blade blAd
blame blAm
blanch bl@nC
bland bl@nd
blank bl@Nk
blare blAr
blast bl@st
blaze blAz
bleach blEC
bleak blEk
bleat blEt
bled bled
bleed blEd
bleep blEp
blend blend
bless bles
blest blest
blew blU
blight blIt
blimp blimp
blind blInd
blink bliNk
bliss blis
blithe blID
blitz blits
bloat blOt
blob blab
bloc blak
block blak
bloke blOk
blond bland
blood bl^d
bloom blUm
blot blat
blouse blWs
blow blO
blown blOn
blue blU
bluff bl^f
blunt bl^nt
blur blur
blush bl^S
boar bOr
board bOrd
boast bOst
boat bOt
bob bab
bog bog
boil bYl
bold bOld
bolt bOlt
bomb bam
bond band
bone bOn
bong boN
boo bU
book buk
boom bUm
boon bUn
boost bUst
boot bUt
booth bUT
booze bUz
bop bap
bore bOr
born bOrn
borne bOrn
boss bos
both bOT
bough bW
bought bot
bounce bWns
bound bWnd
bout bWt
bow bO
bow bW
bowl bOl
box baks
boy bY
brace brAs
brad br@d
brag br@g
braid brAd
braille brAl
brain brAn
brake brAk
bran br@n
branch br@nC
brand br@nd
brash br@S
brass br@s
brat br@t
brave brAv
brawl brol
brawn bron
breach brEC
bread bred
breadth bredT
break brAk
breast brest
breath breT
breathe brED
bred bred
breed brEd
breeze brEz
brew brU
bribe brIb
brick brik
bride brId
bridge brij
brief brEf
brig brig
bright brIt
brim brim
bring briN
brink briNk
brisk brisk
broach brOC
broad brod
broil brYl
broke brOk
bronze branz
brooch brOC
brood brUd
brook bruk
broom brUm
broth broT
brought brot
brow brW
brown brWn
bruise brUz
brunt br^nt
brush br^S
brute brUt
buck b^k
bud b^d
budge b^j
buff b^f
bug b^g
build bild
built bilt
bulb b^lb
bulge b^lj
bulk b^lk
bull bul
bum b^m
bump b^mp
bun b^n
bunch b^nC
bunk b^Nk
bunt b^nt
burl burl
burn burn
burnt burnt
burr bur
burst burst
bus b^s
bush buS
buss b^s
bust b^st
but b^t
butt b^t
butte byUt
buy bI
buzz b^z
by bI
bye bI
cab k@b
cache k@S
cad k@d
cage kAj
cake kAk
calf k@f
call kol
calm kam
calve k@v
cam k@m
came kAm
camp k@mp
can k@n
cane kAn
cant k@nt
cap k@p
cape kAp
car kar
card kard
care kAr
cart kart
carve karv
case kAs
cash k@S
cask k@sk
cast k@st
caste k@st
cat k@t
catch k@C
caught kot
cause koz
cave kAv
cease sEs
cell sel
cent sent
chafe CAf
chain CAn
chair CAr
chaise CAz
chalk Cok
champ C@mp
chance C@ns
change CAnj
chant C@nt
chap C@p
char Car
charge Carj
charm Carm
chart Cart
chase CAs
chaste CAst
chat C@t
chaw Co
cheap CEp
cheat CEt
check Cek
cheek CEk
cheep CEp
cheer CEr
cheese CEz
chef Sef
chess Ces
chest Cest
chew CU
chic SEk
chick Cik
chide CId
chief CEf
